,train predictions,actual
779,[1014.4641],[1014.6]
780,[1014.68097],[1014.9]
781,[1014.92773],[1011.9]
782,[1011.0173],[1010.6]
783,[1010.3949],[1011.]
784,[1010.9879],[1012.6]
785,[1013.0104],[1012.]
786,[1011.86975],[1015.4]
787,[1016.76886],[1012.5]
788,[1011.70825],[1009.9]
789,[1009.752],[1007.]
790,[1006.18274],[1006.2]
791,[1005.93024],[1006.9]
792,[1006.8599],[1005.2]
793,[1004.56323],[1003.]
794,[1002.4775],[1002.1]
795,[1001.8543],[1000.3]
796,[999.67737],[997.9]
797,[997.1886],[996.4]
798,[995.8988],[996.5]
799,[996.397],[997.6]
800,[997.8258],[993.5]
801,[992.3046],[996.3]
802,[997.51733],[997.6]
803,[997.7411],[996.1]
804,[996.0162],[995.5]
805,[995.71405],[992.5]
806,[991.7722],[993.5]
807,[994.0416],[995.9]
808,[996.47906],[993.3]
809,[992.6508],[993.1]
810,[993.523],[990.7]
811,[990.0235],[991.2]
812,[991.60077],[990.2]
813,[989.81067],[991.1]
814,[991.5769],[991.4]
815,[991.5376],[992.]
816,[992.4666],[991.9]
817,[992.1319],[991.]
818,[991.07007],[992.1]
819,[992.7303],[989.8]
820,[989.24817],[991.2]
821,[992.01416],[991.9]
822,[992.0962],[992.2]
823,[992.60706],[991.5]
824,[991.59045],[991.7]
825,[992.1058],[992.]
826,[992.29767],[992.3]
827,[992.64777],[991.8]
828,[991.9106],[991.1]
829,[991.18744],[991.6]
830,[991.98065],[992.2]
831,[992.5359],[993.1]
832,[993.6207],[994.3]
833,[994.9462],[994.]
834,[994.24976],[994.9]
835,[995.6089],[992.5]
836,[992.04254],[997.5]
837,[999.4599],[1002.6]
838,[1004.0656],[1003.1]
839,[1003.8446],[1003.]
840,[1003.8625],[1001.]
841,[1001.0057],[1001.9]
842,[1002.6622],[1002.7]
843,[1003.0226],[1001.2]
844,[1000.988],[999.8]
845,[999.68384],[1002.1]
846,[1002.9305],[1002.1]
847,[1002.08466],[999.9]
848,[999.6054],[1001.1]
849,[1001.7684],[1000.9]
850,[1000.84656],[1000.2]
851,[1000.2747],[1001.6]
852,[1002.23016],[1003.3]
853,[1003.9399],[1003.3]
854,[1003.60223],[1001.8]
855,[1001.7783],[998.7]
856,[998.1087],[998.3]
857,[998.37366],[998.3]
858,[998.1647],[1002.7]
859,[1004.0661],[1002.3]
860,[1002.16614],[1001.7]
861,[1002.16626],[1002.5]
862,[1003.089],[1005.4]
863,[1006.54956],[1002.3]
864,[1001.60516],[1000.2]
865,[1000.184],[999.2]
866,[998.95734],[998.6]
867,[998.4112],[997.4]
868,[997.01636],[996.5]
869,[996.28296],[994.1]
870,[993.39355],[993.1]
871,[992.8955],[995.1]
872,[995.6231],[992.3]
873,[991.3905],[992.1]
874,[992.4233],[996.]
875,[997.1474],[998.]
876,[998.6694],[999.1]
877,[999.96655],[1001.7]
878,[1003.0412],[1004.9]
879,[1006.35767],[1010.6]
880,[1012.93384],[1014.5]
881,[1016.30994],[1013.6]
882,[1014.2938],[1013.6]
883,[1014.60614],[1014.8]
884,[1015.6553],[1016.7]
885,[1017.62366],[1018.4]
886,[1019.2447],[1018.8]
887,[1019.3343],[1021.9]
888,[1023.32794],[1026.5]
889,[1028.2217],[1027.1]
890,[1027.7963],[1029.7]
891,[1031.3297],[1032.8]
892,[1034.232],[1035.]
893,[1036.273],[1036.3]
894,[1037.3419],[1038.9]
895,[1040.31],[1042.3]
896,[1043.8163],[1042.8]
897,[1043.483],[1044.6]
898,[1045.85],[1047.1]
899,[1048.2795],[1047.4]
900,[1047.9391],[1049.2]
901,[1050.3016],[1051.5]
902,[1052.5232],[1053.3]
903,[1054.2571],[1054.7]
904,[1055.5969],[1058.9]
905,[1060.6759],[1061.8]
906,[1063.0657],[1065.2]
907,[1066.94],[1065.8]
908,[1066.5942],[1065.9]
909,[1066.6802],[1066.2]
910,[1066.7484],[1066.6]
911,[1067.0212],[1070.2]
912,[1071.5411],[1074.4]
913,[1075.8385],[1079.8]
914,[1081.9578],[1082.4]
915,[1083.84],[1083.9]
916,[1085.3112],[1082.9]
917,[1083.3279],[1081.2]
918,[1081.2792],[1084.6]
919,[1085.9155],[1090.3]
920,[1092.0072],[1092.6]
921,[1093.6123],[1091.5]
922,[1091.9031],[1095.]
923,[1096.7972],[1098.2]
924,[1099.4204],[1100.3]
925,[1101.4921],[1101.8]
926,[1102.8319],[1102.8]
927,[1103.645],[1104.6]
928,[1105.6276],[1105.]
929,[1105.4623],[1110.]
930,[1112.0065],[1112.3]
931,[1113.1909],[1116.8]
932,[1118.9393],[1118.2]
933,[1119.134],[1122.6]
934,[1124.8468],[1124.4]
935,[1125.4391],[1129.2]
936,[1131.5435],[1130.9]
937,[1131.9143],[1131.9]
938,[1133.0618],[1134.2]
939,[1135.5011],[1140.2]
940,[1142.5609],[1140.7]
941,[1141.2372],[1140.6]
942,[1141.4847],[1140.]
943,[1140.2769],[1140.6]
944,[1141.1222],[1140.]
945,[1139.8945],[1141.]
946,[1141.4912],[1141.5]
947,[1141.6628],[1140.6]
948,[1140.4847],[1140.1]
949,[1140.1217],[1138.4]
950,[1137.8881],[1136.8]
951,[1136.3296],[1136.8]
952,[1136.6825],[1136.4]
953,[1136.0795],[1134.9]
954,[1134.3761],[1135.8]
955,[1136.0876],[1133.9]
956,[1133.1378],[1132.3]
957,[1131.9244],[1132.4]
958,[1132.3132],[1131.4]
959,[1130.9089],[1127.]
960,[1125.5669],[1125.5]
961,[1125.0024],[1124.9]
962,[1124.2545],[1121.8]
963,[1120.5066],[1121.4]
964,[1121.1295],[1123.3]
965,[1123.5251],[1125.]
966,[1125.3683],[1124.3]
967,[1124.206],[1124.5]
968,[1124.8768],[1124.8]
969,[1125.0052],[1124.7]
970,[1124.8099],[1122.3]
971,[1121.6508],[1123.3]
972,[1123.7545],[1124.1]
973,[1124.1499],[1122.]
974,[1121.4028],[1121.6]
975,[1121.6431],[1123.2]
976,[1123.6034],[1123.4]
977,[1123.4092],[1122.]
978,[1121.7327],[1122.4]
979,[1122.6886],[1123.]
980,[1123.1525],[1125.6]
981,[1126.5201],[1124.2]
982,[1123.8213],[1123.]
983,[1123.0349],[1124.]
984,[1124.3888],[1126.8]
985,[1127.6659],[1128.2]
986,[1128.7267],[1130.4]
987,[1131.4781],[1127.]
988,[1126.2198],[1126.5]
989,[1126.8862],[1128.6]
990,[1129.1519],[1127.2]
991,[1126.6893],[1125.9]
992,[1125.723],[1127.3]
993,[1127.7385],[1127.6]
994,[1127.5936],[1126.]
995,[1125.639],[1123.5]
996,[1122.8435],[1126.8]
997,[1127.8529],[1128.6]
998,[1128.8682],[1128.5]
999,[1128.7433],[1128.2]
1000,[1128.4225],[1130.4]
1001,[1131.3326],[1133.1]
1002,[1134.0585],[1132.9]
1003,[1133.1293],[1131.]
1004,[1130.8586],[1126.9]
1005,[1125.8435],[1124.8]
1006,[1124.1669],[1124.]
1007,[1123.3528],[1124.]
1008,[1123.639],[1123.4]
1009,[1122.9552],[1122.3]
1010,[1121.8829],[1121.7]
1011,[1121.4738],[1119.6]
1012,[1118.8479],[1118.9]
1013,[1118.6592],[1118.3]
1014,[1117.8944],[1119.4]
1015,[1119.6477],[1122.6]
1016,[1123.5156],[1123.6]
1017,[1123.9899],[1123.5]
1018,[1123.8973],[1125.]
1019,[1125.8333],[1124.3]
1020,[1124.2643],[1123.9]
1021,[1124.1007],[1123.6]
1022,[1123.5898],[1125.4]
1023,[1126.0443],[1127.7]
1024,[1128.4303],[1128.1]
1025,[1128.4402],[1126.9]
1026,[1126.8984],[1128.7]
1027,[1129.5769],[1127.6]
1028,[1127.2604],[1126.1]
1029,[1125.917],[1126.1]
1030,[1126.1299],[1127.7]
1031,[1128.1295],[1127.2]
1032,[1127.0048],[1122.8]
1033,[1121.5962],[1120.3]
1034,[1119.643],[1118.3]
1035,[1117.3103],[1118.]
1036,[1117.563],[1119.6]
1037,[1119.7324],[1119.4]
1038,[1119.1359],[1120.2]
1039,[1120.5999],[1125.]
1040,[1126.6165],[1126.7]
1041,[1127.355],[1124.5]
1042,[1124.4204],[1123.7]
1043,[1123.977],[1124.9]
1044,[1125.3641],[1124.7]
1045,[1124.6221],[1122.2]
1046,[1121.5452],[1118.2]
1047,[1117.0181],[1117.9]
1048,[1117.6892],[1118.1]
1049,[1117.6997],[1115.8]
1050,[1114.8605],[1115.8]
1051,[1115.7753],[1115.8]
1052,[1115.562],[1117.1]
1053,[1117.4928],[1116.1]
1054,[1115.7567],[1114.5]
1055,[1114.2043],[1117.5]
1056,[1118.5067],[1116.8]
1057,[1116.4137],[1116.]
1058,[1116.0907],[1117.2]
1059,[1117.6633],[1116.1]
1060,[1115.7563],[1114.2]
1061,[1113.7948],[1111.5]
1062,[1110.6486],[1111.1]
1063,[1110.8695],[1109.1]
1064,[1108.1364],[1106.7]
1065,[1105.824],[1104.9]
1066,[1104.0924],[1106.]
1067,[1106.0659],[1107.3]
1068,[1107.3949],[1107.9]
1069,[1108.096],[1108.1]
1070,[1108.328],[1108.1]
1071,[1108.3002],[1111.5]
1072,[1112.7664],[1114.9]
1073,[1116.0511],[1113.2]
1074,[1113.0653],[1112.7]
1075,[1113.1741],[1111.8]
1076,[1111.6528],[1112.8]
1077,[1113.2402],[1111.6]
1078,[1111.146],[1111.1]
1079,[1111.0952],[1110.4]
1080,[1110.1245],[1107.5]
1081,[1106.5767],[1108.2]
1082,[1108.4288],[1107.9]
1083,[1107.4872],[1109.3]
1084,[1109.7635],[1109.5]
1085,[1109.5046],[1109.2]
1086,[1109.3114],[1109.1]
1087,[1109.2164],[1108.]
1088,[1107.7461],[1106.9]
1089,[1106.6434],[1107.2]
1090,[1107.266],[1105.]
1091,[1104.1924],[1105.9]
1092,[1106.262],[1105.2]
1093,[1104.7517],[1103.7]
1094,[1103.3175],[1104.3]
1095,[1104.4852],[1107.]
1096,[1107.7432],[1109.1]
1097,[1109.785],[1105.2]
1098,[1104.2623],[1105.7]
1099,[1106.359],[1107.6]
1100,[1108.0115],[1108.2]
1101,[1108.434],[1109.9]
1102,[1110.6543],[1112.5]
1103,[1113.5056],[1113.1]
1104,[1113.5859],[1110.1]
1105,[1109.6066],[1112.5]
1106,[1113.6499],[1112.8]
1107,[1112.7167],[1114.9]
1108,[1115.8544],[1115.]
1109,[1115.1168],[1115.2]
1110,[1115.6362],[1118.5]
1111,[1119.7576],[1115.8]
1112,[1115.0508],[1114.8]
1113,[1115.0159],[1113.]
1114,[1112.3608],[1113.6]
1115,[1113.7941],[1112.]
1116,[1111.257],[1113.4]
1117,[1113.9069],[1113.5]
1118,[1113.3441],[1114.8]
1119,[1115.3851],[1116.8]
1120,[1117.5112],[1118.]
1121,[1118.6064],[1117.6]
1122,[1117.8148],[1118.7]
1123,[1119.4052],[1117.9]
1124,[1117.7798],[1115.5]
1125,[1114.9946],[1114.1]
1126,[1113.7349],[1115.2]
1127,[1115.3918],[1114.]
1128,[1113.3993],[1113.2]
1129,[1113.0297],[1111.]
1130,[1110.219],[1111.6]
1131,[1111.7863],[1114.]
1132,[1114.5264],[1114.]
1133,[1113.975],[1115.1]
1134,[1115.742],[1113.9]
1135,[1113.6576],[1115.3]
1136,[1116.0524],[1118.5]
1137,[1119.5195],[1122.2]
1138,[1123.5647],[1123.5]
1139,[1124.3145],[1123.6]
1140,[1124.268],[1126.9]
1141,[1128.4534],[1126.5]
1142,[1126.6069],[1125.4]
1143,[1125.6039],[1123.7]
1144,[1123.3685],[1125.7]
1145,[1126.431],[1126.3]
1146,[1126.3192],[1128.1]
1147,[1128.8822],[1127.5]
1148,[1127.4274],[1125.7]
1149,[1125.479],[1126.3]
1150,[1126.6473],[1124.3]
1151,[1123.5658],[1123.8]
1152,[1123.7544],[1122.1]
1153,[1121.3789],[1120.5]
1154,[1119.9554],[1120.7]
1155,[1120.5966],[1119.5]
1156,[1118.9026],[1118.6]
1157,[1118.3011],[1120.7]
1158,[1121.2743],[1124.5]
1159,[1125.5978],[1123.8]
1160,[1123.735],[1124.4]
1161,[1125.1597],[1125.4]
1162,[1125.9155],[1129.2]
1163,[1130.6733],[1126.9]
1164,[1126.3236],[1127.6]
1165,[1128.4482],[1130.1]
1166,[1130.9014],[1131.]
1167,[1131.4456],[1131.1]
1168,[1131.4769],[1130.2]
1169,[1130.2008],[1132.2]
1170,[1133.0728],[1133.3]
1171,[1133.6587],[1134.]
1172,[1134.5002],[1134.5]
1173,[1134.9089],[1134.2]
1174,[1134.3528],[1135.5]
1175,[1136.1483],[1137.3]
1176,[1137.9694],[1139.2]
1177,[1140.0278],[1136.4]
1178,[1135.7908],[1134.3]
1179,[1134.0845],[1134.]
1180,[1133.8551],[1132.6]
1181,[1131.9696],[1134.5]
1182,[1135.0453],[1134.8]
1183,[1134.6786],[1133.4]
1184,[1133.1381],[1133.3]
1185,[1133.4308],[1134.4]
1186,[1134.7394],[1133.4]
1187,[1133.0929],[1131.8]
1188,[1131.4692],[1133.2]
1189,[1133.6798],[1132.2]
1190,[1131.7363],[1133.2]
1191,[1133.7004],[1132.3]
1192,[1131.9532],[1130.6]
1193,[1130.2454],[1129.7]
1194,[1129.4371],[1127.]
1195,[1126.0231],[1127.2]
1196,[1127.205],[1125.4]
1197,[1124.4907],[1128.1]
1198,[1128.9536],[1130.1]
1199,[1130.4731],[1131.4]
1200,[1132.0704],[1132.]
1201,[1132.5168],[1131.4]
1202,[1131.5708],[1133.7]
1203,[1134.746],[1132.6]
1204,[1132.309],[1128.3]
1205,[1127.2886],[1128.4]
1206,[1128.5549],[1130.1]
1207,[1130.2675],[1131.3]
1208,[1131.5618],[1133.4]
1209,[1134.1932],[1131.9]
1210,[1131.6082],[1130.4]
1211,[1130.3501],[1129.9]
1212,[1129.8204],[1130.4]
1213,[1130.5099],[1132.7]
1214,[1133.3785],[1133.6]
1215,[1133.9065],[1137.5]
1216,[1139.0742],[1138.9]
1217,[1139.5573],[1139.6]
1218,[1140.4408],[1140.1]
1219,[1140.7025],[1137.4]
1220,[1136.8772],[1134.7]
1221,[1134.1349],[1136.]
1222,[1136.3243],[1134.9]
1223,[1134.213],[1134.2]
1224,[1134.0375],[1131.2]
1225,[1130.1356],[1129.6]
1226,[1129.1003],[1129.]
1227,[1128.5183],[1129.9]
1228,[1129.954],[1129.8]
1229,[1129.5885],[1129.6]
1230,[1129.6089],[1129.]
1231,[1128.8658],[1128.2]
1232,[1128.0233],[1127.6]
1233,[1127.4298],[1123.]
1234,[1121.487],[1120.7]
1235,[1120.0028],[1118.]
1236,[1116.6748],[1117.6]
1237,[1117.1267],[1116.7]
1238,[1115.9395],[1118.3]
1239,[1118.6318],[1117.3]
1240,[1116.7747],[1118.4]
1241,[1118.947],[1116.4]
1242,[1115.7183],[1117.9]
1243,[1118.6265],[1119.9]
1244,[1120.3925],[1120.5]
1245,[1120.8528],[1121.7]
1246,[1122.3826],[1124.5]
1247,[1125.6388],[1127.8]
1248,[1129.1235],[1128.2]
1249,[1128.7552],[1123.8]
1250,[1122.9889],[1119.2]
1251,[1118.1624],[1116.7]
1252,[1115.7217],[1116.8]
1253,[1116.3224],[1115.1]
1254,[1114.0352],[1114.2]
1255,[1113.7358],[1112.3]
1256,[1111.4465],[1109.4]
1257,[1108.3713],[1110.7]
1258,[1110.9392],[1115.5]
1259,[1116.6489],[1119.3]
1260,[1120.4597],[1122.2]
1261,[1123.6155],[1122.5]
1262,[1123.2412],[1122.7]
1263,[1123.4753],[1125.1]
1264,[1126.2814],[1125.3]
1265,[1125.5841],[1125.9]
1266,[1126.5039],[1129.]
1267,[1130.21],[1131.4]
1268,[1132.3516],[1129.6]
1269,[1129.4581],[1130.5]
1270,[1131.334],[1132.1]
1271,[1132.6794],[1132.9]
1272,[1133.3522],[1136.8]
1273,[1138.3301],[1138.]
1274,[1138.5657],[1137.4]
1275,[1137.793],[1140.9]
1276,[1142.4733],[1141.3]
1277,[1141.5635],[1143.2]
1278,[1144.3539],[1146.3]
1279,[1147.5511],[1150.6]
1280,[1152.3718],[1156.3]
1281,[1158.6444],[1161.2]
1282,[1163.4751],[1164.9]
1283,[1167.0531],[1163.7]
1284,[1164.2958],[1166.7]
1285,[1168.6698],[1169.9]
1286,[1171.2366],[1170.1]
1287,[1170.6945],[1168.7]
1288,[1168.8466],[1167.3]
1289,[1167.223],[1166.3]
1290,[1166.0848],[1170.4]
1291,[1171.7146],[1174.9]
1292,[1176.2047],[1176.5]
1293,[1177.4177],[1177.7]
1294,[1178.8049],[1178.6]
1295,[1179.468],[1178.7]
1296,[1179.2196],[1179.2]
1297,[1179.7485],[1183.3]
1298,[1184.8844],[1186.1]
1299,[1187.1711],[1186.8]
1300,[1187.6094],[1189.]
1301,[1190.3485],[1194.]
1302,[1196.0742],[1195.8]
1303,[1196.844],[1199.5]
1304,[1201.5645],[1202.6]
1305,[1204.1886],[1208.7]
1306,[1211.5035],[1208.6]
1307,[1209.2134],[1209.9]
1308,[1211.4832],[1211.]
1309,[1211.8755],[1214.8]
1310,[1216.6051],[1215.2]
1311,[1215.6736],[1214.2]
1312,[1214.5834],[1215.5]
1313,[1216.3784],[1216.6]
1314,[1217.1611],[1219.5]
1315,[1220.7994],[1226.3]
1316,[1228.8698],[1229.8]
1317,[1231.4277],[1231.7]
1318,[1233.4135],[1235.5]
1319,[1237.7266],[1239.1]
1320,[1241.0507],[1242.1]
1321,[1243.9614],[1247.]
1322,[1249.5037],[1250.1]
1323,[1251.9143],[1248.3]
1324,[1248.7223],[1244.5]
1325,[1244.2177],[1244.2]
1326,[1244.5529],[1244.7]
1327,[1244.7788],[1242.5]
1328,[1241.8147],[1244.]
1329,[1244.7297],[1246.1]
1330,[1246.7383],[1246.3]
1331,[1246.6698],[1246.8]
1332,[1247.4639],[1247.9]
1333,[1248.6536],[1250.5]
1334,[1251.7563],[1252.9]
1335,[1254.0981],[1253.4]
1336,[1254.1548],[1254.2]
1337,[1255.1547],[1254.5]
1338,[1255.1082],[1253.4]
1339,[1253.5223],[1251.5]
1340,[1251.2812],[1251.8]
1341,[1252.1476],[1251.9]
1342,[1251.961],[1253.4]
1343,[1254.1177],[1253.6]
1344,[1253.8656],[1254.8]
1345,[1255.6498],[1254.9]
1346,[1255.2708],[1251.8]
1347,[1251.2365],[1250.2]
1348,[1250.0948],[1251.5]
1349,[1251.9443],[1254.6]
1350,[1255.6055],[1255.1]
1351,[1255.4733],[1254.1]
1352,[1254.3651],[1255.]
1353,[1255.8054],[1257.4]
1354,[1258.487],[1255.1]
1355,[1254.6737],[1255.4]
1356,[1256.1426],[1254.9]
1357,[1254.855],[1253.9]
1358,[1253.8921],[1257.2]
1359,[1258.5353],[1259.4]
1360,[1260.2129],[1261.4]
1361,[1262.6438],[1263.4]
1362,[1264.6766],[1266.1]
1363,[1267.6818],[1265.6]
1364,[1266.0839],[1267.9]
1365,[1269.4954],[1269.3]
1366,[1270.1688],[1268.7]
1367,[1269.1469],[1266.8]
1368,[1266.7643],[1263.9]
1369,[1263.3497],[1261.3]
1370,[1260.6312],[1261.1]
1371,[1261.0034],[1260.5]
1372,[1260.1376],[1257.2]
1373,[1256.1733],[1255.9]
1374,[1255.6497],[1254.5]
1375,[1253.9094],[1254.3]
1376,[1254.2549],[1252.8]
1377,[1252.2667],[1255.4]
1378,[1256.4508],[1255.8]
1379,[1255.9099],[1254.7]
1380,[1254.8324],[1255.1]
1381,[1255.6423],[1255.7]
1382,[1256.1368],[1256.]
1383,[1256.4138],[1257.2]
1384,[1257.9524],[1259.4]
1385,[1260.4669],[1257.3]
1386,[1257.0033],[1257.3]
1387,[1257.9661],[1256.8]
1388,[1256.8079],[1256.7]
1389,[1256.9751],[1256.2]
1390,[1256.2277],[1254.9]
1391,[1254.7216],[1252.9]
1392,[1252.4607],[1252.5]
1393,[1252.5232],[1252.2]
1394,[1252.0919],[1252.3]
1395,[1252.4548],[1251.2]
1396,[1250.9803],[1250.2]
1397,[1250.1329],[1252.]
1398,[1252.7664],[1254.3]
1399,[1255.1542],[1257.8]
1400,[1259.3477],[1262.4]
1401,[1264.4554],[1262.4]
1402,[1263.1234],[1259.8]
1403,[1259.9814],[1258.8]
1404,[1259.1412],[1256.8]
1405,[1256.3325],[1252.9]
1406,[1251.7687],[1249.5]
1407,[1248.3962],[1246.2]
1408,[1244.8612],[1246.8]
1409,[1246.7288],[1247.7]
1410,[1247.6012],[1246.2]
1411,[1245.7344],[1246.2]
1412,[1246.4807],[1243.2]
1413,[1242.2933],[1241.1]
1414,[1240.692],[1240.5]
1415,[1240.2191],[1239.]
1416,[1238.3901],[1235.9]
1417,[1234.8905],[1235.7]
1418,[1235.6545],[1236.3]
1419,[1236.2784],[1238.8]
1420,[1239.6653],[1237.]
1421,[1236.5251],[1238.]
1422,[1238.8903],[1235.7]
1423,[1235.0392],[1232.6]
1424,[1231.9838],[1231.5]
1425,[1231.1755],[1231.1]
1426,[1230.7941],[1230.6]
1427,[1230.3502],[1232.]
1428,[1232.5012],[1230.8]
1429,[1230.443],[1231.9]
1430,[1232.6323],[1228.1]
1431,[1226.9197],[1229.5]
1432,[1230.3972],[1227.4]
1433,[1226.4607],[1225.9]
1434,[1225.7067],[1224.5]
1435,[1223.9752],[1225.7]
1436,[1226.102],[1224.3]
1437,[1223.7284],[1224.8]
1438,[1225.2325],[1227.]
1439,[1227.752],[1231.5]
1440,[1233.1974],[1229.7]
1441,[1229.4482],[1226.4]
1442,[1226.168],[1227.9]
1443,[1228.7273],[1227.9]
1444,[1227.7974],[1225.4]
1445,[1224.8197],[1222.5]
1446,[1221.7474],[1222.]
1447,[1221.8226],[1223.3]
1448,[1223.5248],[1227.3]
1449,[1228.5757],[1230.1]
1450,[1231.1705],[1228.7]
1451,[1228.843],[1229.6]
1452,[1230.6572],[1229.8]
1453,[1230.1503],[1229.1]
1454,[1229.2638],[1226.8]
1455,[1226.318],[1227.]
1456,[1227.2836],[1224.3]
1457,[1223.322],[1223.8]
1458,[1223.8226],[1225.5]
1459,[1225.905],[1226.2]
1460,[1226.4246],[1228.7]
1461,[1229.8207],[1230.2]
1462,[1230.9661],[1231.]
1463,[1231.809],[1233.4]
1464,[1234.7175],[1234.8]
1465,[1235.6824],[1233.]
1466,[1232.9751],[1232.7]
1467,[1233.1718],[1233.3]
1468,[1233.6691],[1233.8]
1469,[1234.1487],[1232.7]
1470,[1232.5709],[1229.3]
1471,[1228.4708],[1229.6]
1472,[1229.903],[1229.2]
1473,[1228.8667],[1230.3]
1474,[1230.7754],[1230.6]
1475,[1230.744],[1233.9]
1476,[1235.309],[1232.9]
1477,[1232.7703],[1230.7]
1478,[1230.6409],[1229.8]
1479,[1229.8027],[1230.7]
1480,[1231.0638],[1229.2]
1481,[1228.7112],[1230.6]
1482,[1231.3263],[1230.7]
1483,[1230.7278],[1231.6]
1484,[1232.2402],[1229.8]
1485,[1229.4243],[1227.6]
1486,[1227.2671],[1225.1]
1487,[1224.3685],[1226.7]
1488,[1227.2184],[1227.7]
1489,[1227.7888],[1227.9]
1490,[1228.1635],[1228.5]
1491,[1228.9817],[1228.7]
1492,[1229.0513],[1228.9]
1493,[1229.2975],[1227.8]
1494,[1227.7139],[1224.7]
1495,[1223.9579],[1224.9]
1496,[1225.142],[1226.1]
1497,[1226.3173],[1227.9]
1498,[1228.5587],[1230.4]
1499,[1231.4495],[1231.7]
1500,[1232.5233],[1233.1]
1501,[1234.1514],[1234.3]
1502,[1235.2141],[1234.7]
1503,[1235.3483],[1233.5]
1504,[1233.5824],[1234.4]
1505,[1235.117],[1237.]
1506,[1238.0153],[1238.2]
1507,[1238.8644],[1239.1]
